
                       mean       std    median      2.5%     97.5%     n_eff     r_hat
     sigma[0,3,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[0,4,0]      0.00      0.00      0.00     -0.00      0.00   3453.99      1.00
     sigma[0,4,1]     -0.00      0.00     -0.00     -0.00     -0.00   2184.38      1.00
     sigma[0,4,2]     -0.00      0.00     -0.00     -0.00     -0.00   2123.42      1.00
     sigma[0,4,3]     -0.00      0.00     -0.00     -0.00     -0.00   2041.77      1.00
     sigma[0,4,4]      0.00      0.00      0.00      0.00      0.00   4480.04      1.00
     sigma[1,0,0]      0.00      0.00      0.00      0.00      0.00   6597.43      1.00
     sigma[1,0,1]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,0,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,0,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,0,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,1,0]     -0.00      0.00     -0.00     -0.00      0.00   6805.10      1.00
     sigma[1,1,1]      0.00      0.00      0.00      0.00      0.00   6889.86      1.00
     sigma[1,1,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,1,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,1,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,2,0]     -0.00      0.00     -0.00     -0.00      0.00   5989.69      1.00
     sigma[1,2,1]     -0.00      0.00     -0.00     -0.00      0.00   5634.61      1.00
     sigma[1,2,2]      0.00      0.00      0.00      0.00      0.00   8580.99      1.00
     sigma[1,2,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,2,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,3,0]     -0.00      0.00     -0.00     -0.00      0.00   6659.32      1.00
     sigma[1,3,1]     -0.00      0.00     -0.00     -0.00      0.00   5797.53      1.00
     sigma[1,3,2]     -0.00      0.00     -0.00     -0.00      0.00   5894.77      1.00
     sigma[1,3,3]      0.00      0.00      0.00      0.00      0.00   6863.88      1.00
     sigma[1,3,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,4,0]      0.00      0.00      0.00     -0.00      0.00   6231.98      1.00
     sigma[1,4,1]     -0.00      0.00     -0.00     -0.00      0.00   5168.65      1.00
     sigma[1,4,2]      0.00      0.00      0.00     -0.00      0.00   5593.22      1.00
     sigma[1,4,3]     -0.00      0.00     -0.00     -0.00      0.00   5330.60      1.00
     sigma[1,4,4]      0.00      0.00      0.00      0.00      0.00   7469.25      1.00
     sigma_1[0,0]      0.00      0.00      0.00      0.00      0.00   5340.54      1.00
     sigma_1[0,1]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[0,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[0,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[0,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[1,0]     -0.00      0.00     -0.00     -0.00     -0.00   1970.38      1.00
     sigma_1[1,1]      0.00      0.00      0.00      0.00      0.00   3103.79      1.00
     sigma_1[1,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[1,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[1,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[2,0]     -0.00      0.00     -0.00     -0.00     -0.00   2150.92      1.00
     sigma_1[2,1]      0.00      0.00      0.00      0.00      0.00   2375.86      1.00
     sigma_1[2,2]      0.00      0.00      0.00      0.00      0.00   3116.17      1.00
     sigma_1[2,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[2,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[3,0]     -0.00      0.00     -0.00     -0.00     -0.00   2098.37      1.00
     sigma_1[3,1]      0.00      0.00      0.00      0.00      0.00   2543.01      1.00
     sigma_1[3,2]      0.00      0.00      0.00      0.00      0.00   2627.54      1.00
     sigma_1[3,3]      0.00      0.00      0.00      0.00      0.00   2625.22      1.00
     sigma_1[3,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[4,0]      0.00      0.00      0.00     -0.00      0.00   3453.99      1.00
     sigma_1[4,1]     -0.00      0.00     -0.00     -0.00     -0.00   2184.38      1.00
     sigma_1[4,2]     -0.00      0.00     -0.00     -0.00     -0.00   2123.42      1.00
     sigma_1[4,3]     -0.00      0.00     -0.00     -0.00     -0.00   2041.77      1.00
     sigma_1[4,4]      0.00      0.00      0.00      0.00      0.00   4480.04      1.00
     sigma_2[0,0]      0.00      0.00      0.00      0.00      0.00   6597.43      1.00
     sigma_2[0,1]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[0,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[0,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[0,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[1,0]     -0.00      0.00     -0.00     -0.00      0.00   6805.10      1.00
     sigma_2[1,1]      0.00      0.00      0.00      0.00      0.00   6889.86      1.00
     sigma_2[1,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[1,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[1,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[2,0]     -0.00      0.00     -0.00     -0.00      0.00   5989.69      1.00
     sigma_2[2,1]     -0.00      0.00     -0.00     -0.00      0.00   5634.61      1.00
     sigma_2[2,2]      0.00      0.00      0.00      0.00      0.00   8580.99      1.00
     sigma_2[2,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[2,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[3,0]     -0.00      0.00     -0.00     -0.00      0.00   6659.32      1.00
     sigma_2[3,1]     -0.00      0.00     -0.00     -0.00      0.00   5797.53      1.00
     sigma_2[3,2]     -0.00      0.00     -0.00     -0.00      0.00   5894.77      1.00
     sigma_2[3,3]      0.00      0.00      0.00      0.00      0.00   6863.88      1.00
     sigma_2[3,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[4,0]      0.00      0.00      0.00     -0.00      0.00   6231.98      1.00
     sigma_2[4,1]     -0.00      0.00     -0.00     -0.00      0.00   5168.65      1.00
     sigma_2[4,2]      0.00      0.00      0.00     -0.00      0.00   5593.22      1.00
     sigma_2[4,3]     -0.00      0.00     -0.00     -0.00      0.00   5330.60      1.00
     sigma_2[4,4]      0.00      0.00      0.00      0.00      0.00   7469.25      1.00
    variance_1[0]      0.03      0.00      0.03      0.03      0.04   5409.21      1.00
    variance_1[1]      0.02      0.00      0.02      0.02      0.02   2241.78      1.00
    variance_1[2]      0.02      0.00      0.02      0.02      0.02   2355.61      1.00
    variance_1[3]      0.04      0.00      0.04      0.04      0.04   2524.06      1.00
    variance_1[4]      0.01      0.00      0.01      0.01      0.01   2389.74      1.00
    variance_2[0]      0.03      0.00      0.03      0.03      0.03   6606.51      1.00
    variance_2[1]      0.01      0.00      0.01      0.01      0.01   6749.92      1.00
    variance_2[2]      0.00      0.00      0.00      0.00      0.01   6751.66      1.00
    variance_2[3]      0.00      0.00      0.00      0.00      0.01   5692.32      1.00
    variance_2[4]      0.00      0.00      0.00      0.00      0.00   5786.76      1.00

Mean pvalue is 1.0
